マンション全住戸予定価格詳細レポート

1. 本レポートの概要と構成

本レポートは、提供された価格表資料（21〜24ページ相当）に基づき、N敷地（N-1〜N-4棟）およびS敷地（S-1〜S-4棟）における全14階、全住戸の価格情報を網羅的にまとめたものです。不動産情報管理の観点から、全住戸の価格、専有面積、住戸タイプを正確に転記しています。

【重要事項】

* 本資料に記載されている価格は**「現時点での予定価格」**です。
* 最終的な価格表は、設計と詳細部分の整合を確認した上で、7/18-7/19に開催される説明会資料にて確定されます。必ず最新の説明会資料をご確認ください。
* 各住戸の間取りや間数は、住戸選定説明会資料にて提示されます。
* 本計画は行政協議・施工・計画等により変更となる場合があります。

2. S敷地（南敷地）住戸詳細一覧表

S敷地（南敷地）の住戸は、S-1棟からS-4棟まで全棟「南向き」の配置となっています。

S-1棟（南向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	S1-1-1401	S1-1	71.10	6,170
14階	S1-2-1402	S1-2	43.26	3,540
14階	S1-3-1403	S1-3	50.02	4,010
14階	S1-4-1404	S1-4	50.02	4,010
14階	S1-5-1405	S1-5	50.02	4,090
14階	S1-6-1406	S1-6	47.38	3,880
14階	S1-7-1407	S1-7	61.80	5,060
14階	S1-8-1408	S1-8	63.86	5,230
13階	S1-1-1301	S1-1	71.10	6,110
13階	S1-2-1302	S1-2	43.26	3,510
13階	S1-3-1303	S1-3	50.02	3,980
13階	S1-4-1304	S1-4	50.02	3,980
13階	S1-5-1305	S1-5	50.02	4,060
13階	S1-6-1306	S1-6	47.38	3,840
13階	S1-7-1307	S1-7	61.80	5,010
13階	S1-8-1308	S1-8	63.86	5,180
12階	S1-1-1201	S1-1	71.10	6,080
12階	S1-2-1202	S1-2	43.26	3,490
12階	S1-3-1203	S1-3	50.02	3,950
12階	S1-4-1204	S1-4	50.02	3,950
12階	S1-5-1205	S1-5	50.02	4,030
12階	S1-6-1206	S1-6	47.38	3,820
12階	S1-7-1207	S1-7	61.80	4,980
12階	S1-8-1208	S1-8	63.86	5,150
11階	S1-1-1101	S1-1	71.10	6,050
11階	S1-2-1102	S1-2	43.26	3,470
11階	S1-3-1103	S1-3	50.02	3,930
11階	S1-4-1104	S1-4	50.02	3,930
11階	S1-5-1105	S1-5	50.02	4,010
11階	S1-6-1106	S1-6	47.38	3,800
11階	S1-7-1107	S1-7	61.80	4,950
11階	S1-8-1108	S1-8	63.86	5,120
10階	S1-1-1001	S1-1	71.10	6,020
10階	S1-2-1002	S1-2	43.26	3,450
10階	S1-3-1003	S1-3	50.02	3,910
10階	S1-4-1004	S1-4	50.02	3,910
10階	S1-5-1005	S1-5	50.02	3,990
10階	S1-6-1006	S1-6	47.38	3,780
10階	S1-7-1007	S1-7	61.80	4,930
10階	S1-8-1008	S1-8	63.86	5,090
9階	S1-1-901	S1-1	71.10	5,990
9階	S1-2-902	S1-2	43.26	3,430
9階	S1-3-903	S1-3	50.02	3,880
9階	S1-4-904	S1-4	50.02	3,880
9階	S1-5-905	S1-5	50.02	3,960
9階	S1-6-906	S1-6	47.38	3,760
9階	S1-7-907	S1-7	61.80	4,900
9階	S1-8-908	S1-8	63.86	5,060
8階	S1-1-801	S1-1	71.10	5,950
8階	S1-2-802	S1-2	43.26	3,410
8階	S1-3-803	S1-3	50.02	3,860
