ご指定の画像ソース（N3-3棟 南向きの価格表）に基づき、14階建てマンションの全住戸データをテキスト形式で出力します。

価格の単位は明記されていませんが、一般的に万円単位と考えられます。また、1階および2階の一部は共用施設やエントランスとなっています。

### N3棟（南向き） 部屋データ一覧

| 階 | 部屋番号 | タイプ | 専有面積 | 価格 |
| :--- | :--- | :--- | :--- | :--- |
| **14階** | N3-1-1414 | N3-1 | 69.60 m² | 5,480 |
| | N3-2-1415 | N3-2 | 69.60 m² | 5,480 |
| | N3-3-1416 | N3-3 | 69.60 m² | 5,480 |
| | N3-4-1417 | N3-4 | 69.60 m² | 5,480 |
| | N3-5-1418 | N3-5 | 69.60 m² | 5,480 |
| | N3-6-1419 | N3-6 | 69.60 m² | 5,480 |
| | N3-7-1420 | N3-7 | 69.60 m² | 5,480 |
| | N3-8-1421 | N3-8 | 68.85 m² | 5,340 |
| | N3-9-1422 | N3-9 | 54.25 m² | 4,190 |
| | N3-10-1423 | N3-10 | 64.22 m² | 4,980 |
| | N3-11-1424 | N3-11 | 81.42 m² | 6,910 |
| **13階** | N3-1-1314 | N3-1 | 69.60 m² | 5,430 |
| | N3-2-1315 | N3-2 | 69.60 m² | 5,430 |
| | N3-3-1316 | N3-3 | 69.60 m² | 5,430 |
| | N3-4-1317 | N3-4 | 69.60 m² | 5,430 |
| | N3-5-1318 | N3-5 | 69.60 m² | 5,430 |
| | N3-6-1319 | N3-6 | 69.60 m² | 5,430 |
| | N3-7-1320 | N3-7 | 69.60 m² | 5,430 |
| | N3-8-1321 | N3-8 | 68.85 m² | 5,290 |
| | N3-9-1322 | N3-9 | 54.25 m² | 4,150 |
| | N3-10-1323 | N3-10 | 64.22 m² | 4,930 |
| | N3-11-1324 | N3-11 | 81.42 m² | 6,840 |
| **12階** | N3-1-1214 | N3-1 | 69.60 m² | 5,400 |
| | N3-2-1215 | N3-2 | 69.60 m² | 5,400 |
| | N3-3-1216 | N3-3 | 69.60 m² | 5,400 |
| | N3-4-1217 | N3-4 | 69.60 m² | 5,400 |
| | N3-5-1218 | N3-5 | 69.60 m² | 5,400 |
| | N3-6-1219 | N3-6 | 69.60 m² | 5,400 |
| | N3-7-1220 | N3-7 | 69.60 m² | 5,400 |
| | N3-8-1221 | N3-8 | 68.85 m² | 5,260 |
| | N3-9-1222 | N3-9 | 54.25 m² | 4,130 |
| | N3-10-1223 | N3-10 | 64.22 m² | 4,900 |
| | N3-11-1224 | N3-11 | 81.42 m² | 6,810 |
| **11階** | N3-1-1114 | N3-1 | 69.60 m² | 5,370 |
| | N3-2-1115 | N3-2 | 69.60 m² | 5,370 |
| | N3-3-1116 | N3-3 | 69.60 m² | 5,370 |
| | N3-4-1117 | N3-4 | 69.60 m² | 5,370 |
| | N3-5-1118 | N3-5 | 69.60 m² | 5,370 |
| | N3-6-1119 | N3-6 | 69.60 m² | 5,370 |
| | N3-7-1120 | N3-7 | 69.60 m² | 5,370 |
| | N3-8-1121 | N3-8 | 68.85 m² | 5,230 |
| | N3-9-1122 | N3-9 | 54.25 m² | 4,100 |
| | N3-10-1123 | N3-10 | 64.22 m² | 4,870 |
| | N3-11-1124 | N3-11 | 81.42 m² | 6,770 |
| **10階** | N3-1-1014 | N3-1 | 69.60 m² | 5,340 |
| | N3-2-1015 | N3-2 | 69.60 m² | 5,340 |
| | N3-3-1016 | N3-3 | 69.60 m² | 5,340 |
| | N3-4-1017 | N3-4 | 69.60 m² | 5,340 |
| | N3-5-1018 | N3-5 | 69.60 m² | 5,340 |
| | N3-6-1019 | N3-6 | 69.60 m² | 5,340 |
| | N3-7-1020 | N3-7 | 69.60 m² | 5,340 |
| | N3-8-1021 | N3-8 | 68.85 m² | 5,200 |
| | N3-9-1022 | N3-9 | 54.25 m² | 4,080 |
| | N3-10-1023 | N3-10 | 64.22 m² | 4,840 |
| | N3-11-1024 | N3-11 | 81.42 m² | 6,730 |
| **9階** | N3-1-914 | N3-1 | 69.60 m² | 5,300 |
| | N3-2-915 | N3-2 | 69.60 m² | 5,300 |
| | N3-3-916 | N3-3 | 69.60 m² | 5,300 |
| | N3-4-917 | N3-4 | 69.60 m² | 5,300 |
| | N3-5-918 | N3-5 | 69.60 m² | 5,300 |
| | N3-6-919 | N3-6 | 69.60 m² | 5,300 |
| | N3-7-920 | N3-7 | 69.60 m² | 5,300 |
| | N3-8-921 | N3-8 | 68.85 m² | 5,170 |
| | N3-9-922 | N3-9 | 54.25 m² | 4,050 |
| | N3-10-923 | N3-10 | 64.22 m² | 4,810 |
| | N3-11-924 | N3-11 | 81.42 m² | 6,700 |
| **8階** | N3-1-814 | N3-1 | 69.60 m² | 5,270 |
| | N3-2-815 | N3-2 | 69.60 m² | 5,270 |
| | N3-3-816 | N3-3 | 69.60 m² | 5,270 |
| | N3-4-817 | N3-4 | 69.60 m² | 5,270 |
| | N3-5-818 | N3-5 | 69.60 m² | 5,270 |
| | N3-6-819 | N3-6 | 69.60 m² | 5,270 |
| | N3-7-820 | N3-7 | 69.60 m² | 5,270 |
