ご提示いただいた画像「S3.png」に基づき、14階建てマンション「S-3棟（南向き）」のすべての部屋データをテキスト形式（表形式）で出力します。

各項目の単位は、面積が平方メートル（㎡）、価格が万円です。

### S-3棟（南向き） 部屋データ一覧

| 階数 | 部屋番号 | タイプ | 面積 | 価格 |
| :--- | :--- | :--- | :--- | :--- |
| **14階** | S3-1-1418 | S3-1 | 71.92 | 5,880 |
| | S3-2-1419 | S3-2 | 71.92 | 5,880 |
| | S3-3-1420 | S3-3 | 71.92 | 5,880 |
| | S3-4-1421 | S3-4 | 71.92 | 5,880 |
| | S3-5-1422 | S3-5 | 71.08 | 5,740 |
| | S3-6-1423 | S3-6 | 71.08 | 5,740 |
| | S3-7-1424 | S3-7 | 71.92 | 5,800 |
| | S3-8-1425 | S3-8 | 80.05 | 7,340 |
| **13階** | S3-1-1318 | S3-1 | 71.92 | 5,830 |
| | S3-2-1319 | S3-2 | 71.92 | 5,830 |
| | S3-3-1320 | S3-3 | 71.92 | 5,830 |
| | S3-4-1321 | S3-4 | 71.92 | 5,830 |
| | S3-5-1322 | S3-5 | 71.08 | 5,680 |
| | S3-6-1323 | S3-6 | 71.08 | 5,680 |
| | S3-7-1324 | S3-7 | 71.92 | 5,750 |
| | S3-8-1325 | S3-8 | 80.05 | 7,280 |
| **12階** | S3-1-1218 | S3-1 | 71.92 | 5,800 |
| | S3-2-1219 | S3-2 | 71.92 | 5,800 |
| | S3-3-1220 | S3-3 | 71.92 | 5,800 |
| | S3-4-1221 | S3-4 | 71.92 | 5,800 |
| | S3-5-1222 | S3-5 | 71.08 | 5,650 |
| | S3-6-1223 | S3-6 | 71.08 | 5,650 |
| | S3-7-1224 | S3-7 | 71.92 | 5,720 |
| | S3-8-1225 | S3-8 | 80.05 | 7,240 |
| **11階** | S3-1-1118 | S3-1 | 71.92 | 5,770 |
| | S3-2-1119 | S3-2 | 71.92 | 5,770 |
| | S3-3-1120 | S3-3 | 71.92 | 5,770 |
| | S3-4-1121 | S3-4 | 71.92 | 5,770 |
| | S3-5-1122 | S3-5 | 71.08 | 5,620 |
| | S3-6-1123 | S3-6 | 71.08 | 5,620 |
| | S3-7-1124 | S3-7 | 71.92 | 5,690 |
| | S3-8-1125 | S3-8 | 80.05 | 7,200 |
| **10階** | S3-1-1018 | S3-1 | 71.92 | 5,730 |
| | S3-2-1019 | S3-2 | 71.92 | 5,730 |
| | S3-3-1020 | S3-3 | 71.92 | 5,730 |
| | S3-4-1021 | S3-4 | 71.92 | 5,730 |
| | S3-5-1022 | S3-5 | 71.08 | 5,590 |
